t,amount,length,area,id_relation,Pays
2025-10-06T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-10-07T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-10-08T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-10-09T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-10-10T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-10-11T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-10-12T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-10-13T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-10-14T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-10-15T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-10-16T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-10-17T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-10-18T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-10-19T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-10-20T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-10-21T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-10-22T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-10-23T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-10-24T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-10-25T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-10-26T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-10-27T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-10-28T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-10-29T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-10-30T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-10-31T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-11-01T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-11-02T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-11-03T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-11-04T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-11-05T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-11-06T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-11-07T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-11-08T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-11-09T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-11-10T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-11-11T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-11-12T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-11-13T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-11-14T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2025-11-15T00:00:00.000Z,298,0,0,/boundary/9407,Andorra
2024-01-01T00:00:00.000Z,17331,0,0,/boundary/195267,Angola
2024-02-01T00:00:00.000Z,17331,0,0,/boundary/195267,Angola
2024-03-01T00:00:00.000Z,17905,0,0,/boundary/195267,Angola
2024-04-01T00:00:00.000Z,17906,0,0,/boundary/195267,Angola
2024-05-01T00:00:00.000Z,17906,0,0,/boundary/195267,Angola
2024-06-01T00:00:00.000Z,17906,0,0,/boundary/195267,Angola
2024-07-01T00:00:00.000Z,17906,0,0,/boundary/195267,Angola
2024-08-01T00:00:00.000Z,17906,0,0,/boundary/195267,Angola
2024-09-01T00:00:00.000Z,17906,0,0,/boundary/195267,Angola
2024-10-01T00:00:00.000Z,17906,0,0,/boundary/195267,Angola
2024-11-01T00:00:00.000Z,17906,0,0,/boundary/195267,Angola
2024-12-01T00:00:00.000Z,17936,0,0,/boundary/195267,Angola
2025-01-01T00:00:00.000Z,17936,0,0,/boundary/195267,Angola
2025-02-01T00:00:00.000Z,17936,0,0,/boundary/195267,Angola
2025-03-01T00:00:00.000Z,18053,0,0,/boundary/195267,Angola
2025-04-01T00:00:00.000Z,18074,0,0,/boundary/195267,Angola
2025-05-01T00:00:00.000Z,18074,0,0,/boundary/195267,Angola
2025-06-01T00:00:00.000Z,18074,0,0,/boundary/195267,Angola
2025-07-01T00:00:00.000Z,18093,0,0,/boundary/195267,Angola
2025-08-01T00:00:00.000Z,18093,0,0,/boundary/195267,Angola
2025-09-01T00:00:00.000Z,18098,0,0,/boundary/195267,Angola
2025-10-01T00:00:00.000Z,18098,0,0,/boundary/195267,Angola
2025-10-02T00:00:00.000Z,18098,0,0,/boundary/195267,Angola
2025-10-03T00:00:00.000Z,18098,0,0,/boundary/195267,Angola
2025-10-04T00:00:00.000Z,18098,0,0,/boundary/195267,Angola
2025-10-05T00:00:00.000Z,18098,0,0,/boundary/195267,Angola
2025-10-06T00:00:00.000Z,18098,0,0,/boundary/195267,Angola
2025-10-07T00:00:00.000Z,18098,0,0,/boundary/195267,Angola
2025-10-08T00:00:00.000Z,18098,0,0,/boundary/195267,Angola
2025-10-09T00:00:00.000Z,18098,0,0,/boundary/195267,Angola
2025-10-10T00:00:00.000Z,18098,0,0,/boundary/195267,Angola
2025-10-11T00:00:00.000Z,18098,0,0,/boundary/195267,Angola
2025-10-12T00:00:00.000Z,18098,0,0,/boundary/195267,Angola
2025-10-13T00:00:00.000Z,18098,0,0,/boundary/195267,Angola
2025-10-14T00:00:00.000Z,18098,0,0,/boundary/195267,Angola
2025-10-15T00:00:00.000Z,18098,0,0,/boundary/195267,Angola
2025-10-16T00:00:00.000Z,18098,0,0,/boundary/195267,Angola
2025-10-17T00:00:00.000Z,18098,0,0,/boundary/195267,Angola
2025-10-18T00:00:00.000Z,18098,0,0,/boundary/195267,Angola
