x,amount,amount_1d,amount_30d,id_relation,Pays
2025-11-10T00:00:00.000Z,92,1,14,/boundary/286393,Argentina
2025-11-11T00:00:00.000Z,93,2,14,/boundary/286393,Argentina
2025-11-12T00:00:00.000Z,93,1,14,/boundary/286393,Argentina
2025-11-13T00:00:00.000Z,93,1,13,/boundary/286393,Argentina
2025-11-14T00:00:00.000Z,93,0,13,/boundary/286393,Argentina
2025-11-15T00:00:00.000Z,93,1,12,/boundary/286393,Argentina
2025-11-16T00:00:00.000Z,93,2,12,/boundary/286393,Argentina
2025-11-17T00:00:00.000Z,93,2,12,/boundary/286393,Argentina
2025-11-18T00:00:00.000Z,94,1,13,/boundary/286393,Argentina
2025-11-19T00:00:00.000Z,94,0,13,/boundary/286393,Argentina
2025-11-20T00:00:00.000Z,94,0,13,/boundary/286393,Argentina
2025-11-21T00:00:00.000Z,94,0,13,/boundary/286393,Argentina
2025-11-22T00:00:00.000Z,94,1,12,/boundary/286393,Argentina
2025-11-23T00:00:00.000Z,94,3,12,/boundary/286393,Argentina
2025-11-24T00:00:00.000Z,94,1,12,/boundary/286393,Argentina
2025-11-25T00:00:00.000Z,94,1,12,/boundary/286393,Argentina
2025-11-26T00:00:00.000Z,94,1,12,/boundary/286393,Argentina
