t,length,area,labels.distribution.amount,labels.distribution.length,labels.distribution.area,labels.transmission.amount,labels.transmission.length,labels.transmission.area,labels.transmission_overhead.amount,labels.transmission_overhead.length,labels.transmission_overhead.area,Country,growth_percent,growth_km
2025-11-13T00:00:00Z,102.280147918108,0,,,,38,102.280147918108,0,38,102.280147918108,0,Haiti,0,0
2025-11-13T00:00:00Z,2053.78916143928,0,,,,100,2053.78916143928,0,100,2053.78916143928,0,Honduras,0.00587954683446344,12.0047669731402
2025-11-13T00:00:00Z,10938.761194787,0,689,275301.958423808,0,4343,10704.4522394164,0,4254,10563.5976412525,0,Hungary,0.0062995155964063,68.4775215369991
2025-11-13T00:00:00Z,4208.43289668077,0,19,45505.4451815779,0,285,4162.92745149919,0,194,3845.4055717737,0,Iceland,0.269980927517783,894.65644107188
2025-11-13T00:00:00Z,460830.824171971,0,1025,757167.452629654,0,37994,460073.656719341,0,37869,459949.965551202,0,India,0.0449975751701673,19843.366285354
2025-11-13T00:00:00Z,38306.0666226678,0,38,286056.455076352,0,3851,38281.4803382038,0,3830,38250.6307974863,0,Indonesia,0.032643088170647,1210.900769645
2025-11-13T00:00:00Z,74920.1339926224,0,40,175055.826569594,0,4793,74745.0781660529,0,4790,74737.1718507874,0,Iran,0.00863922406218911,641.707965435606
2025-11-13T00:00:00Z,18147.12472861,0,83,949152.170310333,0,1111,17197.9725582997,0,1109,17197.9725582997,0,Iraq,0.149379490975904,2358.4971507838
2025-11-13T00:00:00Z,3595.07498366849,0,2,273.378953273782,0,1903,3594.80160471522,0,1843,3556.02108758123,0,Israel,-0.0106957627507791,-38.8677897544399
2025-11-13T00:00:00Z,66046.1142390553,0,1646,983841.289790485,0,15891,64632.7101834852,0,15346,62991.6357116215,0,Italy,0.0100267199672705,655.651854856697
2025-11-13T00:00:00Z,7243.51212224848,0,3,262.138810940707,0,160,7243.24998343754,0,160,7243.24998343754,0,Ivory Coast,0.0361561111596941,252.758466275401
2025-11-13T00:00:00Z,567.519611228666,0,,,,54,567.519611228666,0,54,567.519611228666,0,Jamaica,-0.0017063518248344,-0.970043359506008
2025-11-13T00:00:00Z,61782.3514699737,0,661,1153236.11036351,0,24628,60801.46581063,0,23882,60070.8526744651,0,Japan,0.00918324915766134,562.199905288297
2025-11-13T00:00:00Z,3154.39850348721,0,2,10110.0448575547,0,391,3152.75968955,0,390,3141.02194012625,0,Jordan,0.18247293078775,486.76999262922
2025-11-13T00:00:00Z,64211.2056522018,0,461,3816067.17734917,0,2581,60395.1384748526,0,2576,60390.4943895075,0,Kazakhstan,0.417992688606539,18928.0344707607
2025-11-13T00:00:00Z,7688.97226317126,0,115,27621.4776668536,0,278,7661.35078550441,0,273,7655.06703054746,0,Kenya,0.0952783864525075,668.864536883481
2025-11-13T00:00:00Z,3711.85950724719,0,2,23437.7410302703,0,276,3688.42176621692,0,252,3658.98591368307,0,Kuwait,0.0144178229332415,52.7563021061797
2025-11-13T00:00:00Z,6124.61242855391,0,2,26853.4886215407,0,324,6097.75893993236,0,324,6097.75893993236,0,Kyrgyzstan,0.41146221128889,1785.41554494683
2025-11-13T00:00:00Z,7988.81844853983,0,1,1040.44701259552,0,383,7987.77800152724,0,383,7987.77800152724,0,Laos,0.0666362056964603,499.08726758528
2025-11-13T00:00:00Z,12848.8523849213,0,5368,7906166.10993071,0,763,4945.04135572667,0,721,4922.24860831615,0,Latvia,0.034957681012867,433.994636972901
2025-11-13T00:00:00Z,1165.96883630151,0,,,,120,1165.96883630151,0,120,1165.96883630151,0,Lebanon,0.627676422108321,449.629384267649
2025-11-13T00:00:00Z,721.029543058955,0,6,7353.03930069575,0,62,713.67650375826,0,62,713.67650375826,0,Lesotho,-0.111561013686128,-90.539460740059
2025-11-13T00:00:00Z,816.461858756048,0,,,,20,816.461858756048,0,20,816.461858756048,0,Liberia,-0.00206577363477254,-1.69011678030006
2025-11-13T00:00:00Z,16464.359325964,0,59,431155.744888244,0,899,16033.2035810757,0,895,16009.3342797328,0,Libya,0.0689698709586991,1062.2794607962
2025-11-13T00:00:00Z,49.5840554292391,0,,,,4,49.5840554292391,0,4,49.5840554292391,0,Liechtenstein,1.55729444383499e-07,7.72169619978058e-06
2025-11-13T00:00:00Z,10715.7939368306,0,585,3592946.00496117,0,1492,7194.5567711068,0,1472,6782.03450036054,0,Lithuania,0.0183850966789009,193.454232747799
2025-11-13T00:00:00Z,687.873589346364,0,,,,531,687.873589346364,0,505,657.158389828803,0,Luxembourg,-0.0081792371189898,-5.67267938494399
