t,amount_1d,amount_30d,labels.distribution.amount_1d,labels.distribution.amount_30d,labels.generation.amount_1d,labels.generation.amount_30d,labels.industrial.amount_1d,labels.industrial.amount_30d,labels.transmission.amount_1d,labels.transmission.amount_30d,id_relation,Pays
2025-10-27T00:00:00.000Z,2,5,1,2,,,,,0,3,/boundary/286393,Argentina
2025-10-28T00:00:00.000Z,0,5,0,2,,,,,0,3,/boundary/286393,Argentina
2025-10-29T00:00:00.000Z,0,5,0,2,,,,,0,3,/boundary/286393,Argentina
2025-10-30T00:00:00.000Z,0,5,0,2,,,,,0,3,/boundary/286393,Argentina
2025-10-31T00:00:00.000Z,0,5,0,2,,,,,0,3,/boundary/286393,Argentina
2025-11-01T00:00:00.000Z,1,6,0,2,,,,,1,4,/boundary/286393,Argentina
2025-11-02T00:00:00.000Z,1,7,0,2,,,,,0,4,/boundary/286393,Argentina
2025-11-03T00:00:00.000Z,0,7,0,2,,,,,0,4,/boundary/286393,Argentina
2025-11-04T00:00:00.000Z,0,7,0,2,,,,,0,4,/boundary/286393,Argentina
2025-11-05T00:00:00.000Z,0,7,0,2,,,,,0,4,/boundary/286393,Argentina
2025-11-06T00:00:00.000Z,0,7,0,2,,,,,0,4,/boundary/286393,Argentina
