t,amount_1d,amount_30d,labels.distribution.amount_1d,labels.distribution.amount_30d,labels.generation.amount_1d,labels.generation.amount_30d,labels.industrial.amount_1d,labels.industrial.amount_30d,labels.transmission.amount_1d,labels.transmission.amount_30d,id_relation,Pays
2025-10-27T00:00:00.000Z,0,1,,,,,,,0,1,/boundary/195267,Angola
2025-10-28T00:00:00.000Z,0,1,,,,,,,0,1,/boundary/195267,Angola
2025-10-29T00:00:00.000Z,0,1,,,,,,,0,1,/boundary/195267,Angola
2025-10-30T00:00:00.000Z,0,1,,,,,,,0,1,/boundary/195267,Angola
2025-10-31T00:00:00.000Z,0,1,,,,,,,0,1,/boundary/195267,Angola
2025-11-01T00:00:00.000Z,0,1,,,,,,,0,1,/boundary/195267,Angola
2025-11-02T00:00:00.000Z,0,1,,,,,,,0,1,/boundary/195267,Angola
2025-11-03T00:00:00.000Z,0,1,,,,,,,0,1,/boundary/195267,Angola
2025-11-04T00:00:00.000Z,0,1,,,,,,,0,1,/boundary/195267,Angola
2025-11-05T00:00:00.000Z,0,1,,,,,,,0,1,/boundary/195267,Angola
2025-11-06T00:00:00.000Z,0,1,,,,,,,0,1,/boundary/195267,Angola
2024-06-01T00:00:00.000Z,0,1,,,,,,,,,/boundary/536900,Antigua and Barbuda
2024-10-01T00:00:00.000Z,0,1,,,,,,,,,/boundary/536900,Antigua and Barbuda
2025-10-29T00:00:00.000Z,1,1,,,,,,,,,/boundary/536900,Antigua and Barbuda
2025-10-30T00:00:00.000Z,0,1,,,,,,,,,/boundary/536900,Antigua and Barbuda
2025-10-31T00:00:00.000Z,0,1,,,,,,,,,/boundary/536900,Antigua and Barbuda
2025-11-01T00:00:00.000Z,0,1,,,,,,,,,/boundary/536900,Antigua and Barbuda
2025-11-02T00:00:00.000Z,0,1,,,,,,,,,/boundary/536900,Antigua and Barbuda
2025-11-03T00:00:00.000Z,0,1,,,,,,,,,/boundary/536900,Antigua and Barbuda
2025-11-04T00:00:00.000Z,0,1,,,,,,,,,/boundary/536900,Antigua and Barbuda
2025-11-05T00:00:00.000Z,0,1,,,,,,,,,/boundary/536900,Antigua and Barbuda
2025-11-06T00:00:00.000Z,0,1,,,,,,,,,/boundary/536900,Antigua and Barbuda
2024-01-01T00:00:00.000Z,0,4,,,,,,,,,/boundary/286393,Argentina
2024-02-01T00:00:00.000Z,0,8,,,,,,,0,2,/boundary/286393,Argentina
