t,amount,length,labels.distribution.amount,labels.distribution.length,labels.transmission.amount,labels.transmission.length,labels.transmission_overhead.amount,labels.transmission_overhead.length,id_relation,Pays
2025-08-01T00:00:00.000Z,1620,32601.8986196032,29,296982.755978452,1590,32301.4769680762,1574,32284.9960266603,/boundary/192756,Algeria
2025-09-01T00:00:00.000Z,1626,32602.6975862896,29,296982.755978452,1597,32305.7148303112,1580,32288.6877323164,/boundary/192756,Algeria
2025-10-01T00:00:00.000Z,1642,32627.1241948007,29,296982.755978452,1613,32330.1414388223,1594,32312.4350256361,/boundary/192756,Algeria
2025-10-02T00:00:00.000Z,1642,32627.1241948007,29,296982.755978452,1613,32330.1414388223,1594,32312.4350256361,/boundary/192756,Algeria
2025-10-03T00:00:00.000Z,1642,32627.1687670909,29,296982.755978452,1613,32330.1860111125,1594,32312.4795979263,/boundary/192756,Algeria
2025-10-04T00:00:00.000Z,1642,32627.1687670909,29,296982.755978452,1613,32330.1860111125,1594,32312.4795979263,/boundary/192756,Algeria
2025-10-05T00:00:00.000Z,1642,32627.1687670909,29,296982.755978452,1613,32330.1860111125,1594,32312.4795979263,/boundary/192756,Algeria
2025-10-06T00:00:00.000Z,1642,32627.1687670909,29,296982.755978452,1613,32330.1860111125,1594,32312.4795979263,/boundary/192756,Algeria
2025-10-07T00:00:00.000Z,1642,32627.1687670909,29,296982.755978452,1613,32330.1860111125,1594,32312.4795979263,/boundary/192756,Algeria
2025-10-08T00:00:00.000Z,1642,32627.1687670909,29,296982.755978452,1613,32330.1860111125,1594,32312.4795979263,/boundary/192756,Algeria
2025-10-09T00:00:00.000Z,1642,32627.1687670909,29,296982.755978452,1613,32330.1860111125,1594,32312.4795979263,/boundary/192756,Algeria
2025-10-10T00:00:00.000Z,1642,32627.1687670909,29,296982.755978452,1613,32330.1860111125,1594,32312.4795979263,/boundary/192756,Algeria
2025-10-11T00:00:00.000Z,1642,32627.1687670909,29,296982.755978452,1613,32330.1860111125,1594,32312.4795979263,/boundary/192756,Algeria
