t,amount,length,labels.distribution.amount,labels.distribution.length,labels.generation.amount,labels.generation.length,labels.industrial.amount,labels.industrial.length,labels.transmission.amount,labels.transmission.length,id_relation,Pays
2025-10-21T00:00:00.000Z,766,258188.728866764,766,258188.728866764,766,258188.728866764,766,258188.728866764,292,165834.097059988,/boundary/192756,Algeria
2025-10-22T00:00:00.000Z,766,258188.728866764,766,258188.728866764,766,258188.728866764,766,258188.728866764,292,165834.097059988,/boundary/192756,Algeria
2025-10-23T00:00:00.000Z,766,258188.728866764,766,258188.728866764,766,258188.728866764,766,258188.728866764,292,165834.097059988,/boundary/192756,Algeria
2025-10-24T00:00:00.000Z,766,258188.728866764,766,258188.728866764,766,258188.728866764,766,258188.728866764,292,165834.097059988,/boundary/192756,Algeria
2025-10-25T00:00:00.000Z,766,258188.728866764,766,258188.728866764,766,258188.728866764,766,258188.728866764,292,165834.097059988,/boundary/192756,Algeria
2025-10-26T00:00:00.000Z,766,258188.728866764,766,258188.728866764,766,258188.728866764,766,258188.728866764,292,165834.097059988,/boundary/192756,Algeria
2025-10-27T00:00:00.000Z,766,258188.728866764,766,258188.728866764,766,258188.728866764,766,258188.728866764,292,165834.097059988,/boundary/192756,Algeria
2025-10-28T00:00:00.000Z,766,258188.728866764,766,258188.728866764,766,258188.728866764,766,258188.728866764,292,165834.097059988,/boundary/192756,Algeria
2025-10-29T00:00:00.000Z,766,258188.728866764,766,258188.728866764,766,258188.728866764,766,258188.728866764,292,165834.097059988,/boundary/192756,Algeria
2025-10-30T00:00:00.000Z,766,258188.728866764,766,258188.728866764,766,258188.728866764,766,258188.728866764,292,165834.097059988,/boundary/192756,Algeria
2024-10-01T00:00:00.000Z,7,1170.84545236458,7,1170.84545236458,7,1170.84545236458,7,1170.84545236458,3,881.791900485736,/boundary/9407,Andorra
2024-11-01T00:00:00.000Z,7,1205.0012031288,7,1205.0012031288,7,1205.0012031288,7,1205.0012031288,3,915.947651249955,/boundary/9407,Andorra
2024-12-01T00:00:00.000Z,7,1205.0012031288,7,1205.0012031288,7,1205.0012031288,7,1205.0012031288,3,915.947651249955,/boundary/9407,Andorra
2025-01-01T00:00:00.000Z,7,1205.0012031288,7,1205.0012031288,7,1205.0012031288,7,1205.0012031288,3,915.947651249955,/boundary/9407,Andorra
